station_name,matched_db_name,vars_in_both,vars_only_file,vars_only_db,var_and_unit_db
DunsterWx,DUNSTER,[],"['DewPt', 'Gust Speed', 'Pressure', 'RH', 'Rain', 'Solar Radiation', 'Temp', 'Wind Direction', 'Wind Speed']","['MAX_TEMP', 'MIN_TEMP', 'ONE_DAY_PRECIPITATION', 'ONE_DAY_RAIN', 'ONE_DAY_SNOW', 'Precip_Climatology', 'SNOW_ON_THE_GROUND', 'T_mean_Climatology', 'Tn_Climatology', 'Tx_Climatology']","{'MAX_TEMP': 'celsius', 'MIN_TEMP': 'celsius', 'ONE_DAY_PRECIPITATION': 'mm', 'ONE_DAY_RAIN': 'mm', 'ONE_DAY_SNOW': 'cm', 'Precip_Climatology': 'mm', 'SNOW_ON_THE_GROUND': 'cm', 'T_mean_Climatology': 'celsius', 'Tn_Climatology': 'celsius', 'Tx_Climatology': 'celsius'}"
EndakoWx,EndakoWx,"['RH', 'Wetness']","['DewPt', 'Gust Speed', 'Pressure', 'Rain', 'Solar Radiation', 'Temp', 'Wind Direction', 'Wind Speed']","['DewPtC', 'GustSpeedms', 'Pressurembar', 'Rainmm', 'SolarRadiationWm', 'TempC', 'Water_Content_m3_m3_15_cm', 'WindDirection', 'WindSpeedms']","{'DewPtC': 'celsius', 'GustSpeedms': 'm s-1', 'Pressurembar': 'millibar', 'Rainmm': 'mm', 'RH': '%', 'SolarRadiationWm': 'W m-2', 'TempC': 'celsius', 'Water_Content_m3_m3_15_cm': 'm3/m3', 'Wetness': '%', 'WindDirection': 'degree', 'WindSpeedms': 'm s-1'}"
GeorgeWx,GeorgeWx,"['RH', 'Wetness']","['DewPt', 'Gust Speed', 'Pressure', 'Rain', 'Solar Radiation', 'Temp', 'Wind Direction', 'Wind Speed']","['DewPtC', 'GustSpeedms', 'Pressurembar', 'Rainmm', 'Soil_Temp', 'SolarRadiationWm', 'TempC', 'Water_Content_m3_m3_15_cm', 'WindDirection', 'WindSpeedms']","{'DewPtC': 'celsius', 'GustSpeedms': 'm s-1', 'Pressurembar': 'millibar', 'Rainmm': 'mm', 'RH': '%', 'Soil_Temp': 'celsius', 'SolarRadiationWm': 'W m-2', 'TempC': 'celsius', 'Water_Content_m3_m3_15_cm': 'm3/m3', 'Wetness': '%', 'WindDirection': 'degree', 'WindSpeedms': 'm s-1'}"
GunnelWx,GunnelWx,['RH'],"['DewPt', 'Gust Speed', 'Pressure', 'Rain', 'Solar Radiation', 'Temp', 'Wind Direction', 'Wind Speed']","['DewPtC', 'GustSpeedms', 'Pressurembar', 'Rainmm', 'SolarRadiationWm', 'TempC', 'Tn', 'Tx', 'WindDirection', 'WindSpeedms']","{'DewPtC': 'celsius', 'GustSpeedms': 'm s-1', 'Pressurembar': 'millibar', 'Rainmm': 'mm', 'RH': '%', 'SolarRadiationWm': 'W m-2', 'TempC': 'celsius', 'Tn': 'celsius', 'Tx': 'celsius', 'WindDirection': 'degree', 'WindSpeedms': 'm s-1'}"
HourglassWx,HOURGLASS,['RH'],"['DewPt', 'Gust Speed', 'Pressure', 'Rain', 'Solar Radiation', 'Temp', 'Wind Direction', 'Wind Speed']","['ACCPPT1', 'ACCPPT2', 'DewPtC', 'GustSpeedms', 'Pressurembar', 'Rainmm', 'SNOWDEPTH', 'Snow_Depth', 'SolarRadiationWm', 'TempC', 'Water_Content_m3_m3_15_cm', 'WindDirection', 'WindSpeedms']","{'ACCPPT1': 'mm', 'ACCPPT2': 'mm', 'DewPtC': 'celsius', 'GustSpeedms': 'm s-1', 'Pressurembar': 'millibar', 'Rainmm': 'mm', 'RH': '%', 'Snow_Depth': 'cm', 'SNOWDEPTH': 'cm', 'SolarRadiationWm': 'W m-2', 'TempC': 'celsius', 'Water_Content_m3_m3_15_cm': 'm3/m3', 'WindDirection': 'degree', 'WindSpeedms': 'm s-1'}"
Hudson Bay Mtn2,Hudson Bay Mtn2,['RH'],"['DewPt', 'Gust Speed', 'Pressure', 'Rain', 'Solar Radiation', 'Temp', 'Wind Direction', 'Wind Speed']","['DewPtC', 'GustSpeedms', 'Pressurembar', 'Rainmm', 'SolarRadiationWm', 'TempC', 'WindDirection', 'WindSpeedms']","{'DewPtC': 'celsius', 'GustSpeedms': 'm s-1', 'Pressurembar': 'millibar', 'Rainmm': 'mm', 'RH': '%', 'SolarRadiationWm': 'W m-2', 'TempC': 'celsius', 'WindDirection': 'degree', 'WindSpeedms': 'm s-1'}"
Kluskus,Kluskus,['RH'],"['DewPt', 'Gust Speed', 'Pressure', 'Rain', 'Solar Radiation', 'Temp', 'Wind Direction', 'Wind Speed']","['DewPtC', 'GustSpeedms', 'Precip_Climatology', 'Pressurembar', 'Rainmm', 'SolarRadiationWm', 'TempC', 'Water_Content_m3_m3_15_cm', 'WindDirection', 'WindSpeedms', 'air_temp', 'avg_wnd_dir_10m_pst10mts', 'avg_wnd_spd_10m_pst10mts', 'dwpt_temp', 'precipitation', 'rel_hum', 'relative_humidity', 'rnfl_amt_pst1hr', 'rnfl_amt_pst24hrs', 'temperature', 'wind_direction', 'wind_speed']","{'air_temp': 'celsius', 'avg_wnd_dir_10m_pst10mts': 'degrees', 'avg_wnd_spd_10m_pst10mts': 'km/h', 'DewPtC': 'celsius', 'dwpt_temp': 'celsius', 'GustSpeedms': 'm s-1', 'Precip_Climatology': 'mm', 'precipitation': 'mm', 'Pressurembar': 'millibar', 'Rainmm': 'mm', 'relative_humidity': '%', 'rel_hum': '%', 'RH': '%', 'rnfl_amt_pst1hr': 'mm', 'rnfl_amt_pst24hrs': 'mm', 'SolarRadiationWm': 'W m-2', 'TempC': 'celsius', 'temperature': 'celsius', 'Water_Content_m3_m3_15_cm': 'm3/m3', 'wind_direction': 'degree', 'WindDirection': 'degree', 'wind_speed': 'km/h', 'WindSpeedms': 'm s-1'}"
MacJxnWx,Mackenzie Jxn,"['RH', 'Wetness']","['DewPt', 'Gust Speed', 'Pressure', 'Rain', 'Solar Radiation', 'Temp', 'Wind Direction', 'Wind Speed']","['DewPtC', 'GustSpeedms', 'Pressurembar', 'Rainmm', 'SolarRadiationWm', 'TempC', 'Water_Content_m3_m3_15_cm', 'WindDirection', 'WindSpeedms']","{'DewPtC': 'celsius', 'GustSpeedms': 'm s-1', 'Pressurembar': 'millibar', 'Rainmm': 'mm', 'RH': '%', 'SolarRadiationWm': 'W m-2', 'TempC': 'celsius', 'Water_Content_m3_m3_15_cm': 'm3/m3', 'Wetness': '%', 'WindDirection': 'degree', 'WindSpeedms': 'm s-1'}"
MiddleforkWx,MiddleforkWx,['RH'],"['DewPt', 'Gust Speed', 'Pressure', 'Rain', 'Solar Radiation', 'Temp', 'Wind Direction', 'Wind Speed']","['DewPtC', 'GustSpeedms', 'Pressurembar', 'Rainmm', 'SolarRadiationWm', 'TempC', 'Water_Content_m3_m3_15_cm', 'WindDirection', 'WindSpeedms']","{'DewPtC': 'celsius', 'GustSpeedms': 'm s-1', 'Pressurembar': 'millibar', 'Rainmm': 'mm', 'RH': '%', 'SolarRadiationWm': 'W m-2', 'TempC': 'celsius', 'Water_Content_m3_m3_15_cm': 'm3/m3', 'WindDirection': 'degree', 'WindSpeedms': 'm s-1'}"
NondaWx,NondaWx,['RH'],"['DewPt', 'Gust Speed', 'Pressure', 'Rain', 'Solar Radiation', 'Temp', 'Wind Direction', 'Wind Speed']","['DewPtC', 'GustSpeedms', 'Pressurembar', 'Rainmm', 'SolarRadiationWm', 'TempC', 'WindDirection', 'WindSpeedms']","{'DewPtC': 'celsius', 'GustSpeedms': 'm s-1', 'Pressurembar': 'millibar', 'Rainmm': 'mm', 'RH': '%', 'SolarRadiationWm': 'W m-2', 'TempC': 'celsius', 'WindDirection': 'degree', 'WindSpeedms': 'm s-1'}"
PinkWx,PinkWx,['RH'],"['DewPt', 'Gust Speed', 'Pressure', 'Rain', 'Rain raw', 'Solar Radiation', 'Temp', 'Wind Direction', 'Wind Speed']","['DewPtC', 'GustSpeedms', 'Pressurembar', 'Rainmm', 'SolarRadiationWm', 'TempC', 'WindDirection', 'WindSpeedms']","{'DewPtC': 'celsius', 'GustSpeedms': 'm s-1', 'Pressurembar': 'millibar', 'Rainmm': 'mm', 'RH': '%', 'SolarRadiationWm': 'W m-2', 'TempC': 'celsius', 'WindDirection': 'degree', 'WindSpeedms': 'm s-1'}"
SaxtonWx,SaxtonWx,['RH'],"['DewPt', 'Gust Speed', 'Pressure', 'Rain', 'Solar Radiation', 'Temp', 'Wind Direction', 'Wind Speed']","['DewPtC', 'GustSpeedms', 'Pressurembar', 'Rainmm', 'SolarRadiationWm', 'TempC', 'Water_Content_m3_m3_15_cm', 'Water_Content_m3_m3_5_cm', 'WindDirection', 'WindSpeedms']","{'DewPtC': 'celsius', 'GustSpeedms': 'm s-1', 'Pressurembar': 'millibar', 'Rainmm': 'mm', 'RH': '%', 'SolarRadiationWm': 'W m-2', 'TempC': 'celsius', 'Water_Content_m3_m3_15_cm': 'm3/m3', 'Water_Content_m3_m3_5_cm': 'm3/m3', 'WindDirection': 'degree', 'WindSpeedms': 'm s-1'}"
Sunbeam,Sunbeam,['RH'],"['Gust Speed', 'Pressure', 'Rain', 'Solar Radiation', 'Temp', 'Wind Direction', 'Wind Speed']","['DewPtC', 'GustSpeedms', 'Pressurembar', 'Rainmm', 'SolarRadiationWm', 'TempC', 'WindDirection', 'WindSpeedms']","{'DewPtC': 'celsius', 'GustSpeedms': 'm s-1', 'Pressurembar': 'millibar', 'Rainmm': 'mm', 'RH': '%', 'SolarRadiationWm': 'W m-2', 'TempC': 'celsius', 'WindDirection': 'degree', 'WindSpeedms': 'm s-1'}"
Tamarac,Tamarack,[],"['Soil Temp', 'WC_cal', 'Water Content']","['ACTUAL_WIND_DIRECTION', 'ACTUAL_WIND_SPEED', 'ATMOSPHERIC_PRESSURE', 'CURRENT_AIR_TEMPERATURE1', 'CURRENT_AIR_TEMPERATURE2', 'DEW_POINT', 'HEIGHT_OF_SNOW', 'HOURLY_PRECIPITATION', 'MAXIMUM_AIR_TEMPERATURE', 'MAXIMUM_MEASURED_WIND_SPEED1', 'MEASURED_WIND_DIRECTION1', 'MEASURED_WIND_SPEED1', 'MINIMUM_AIR_TEMPERATURE', 'PRECIPITATION_GAUGE_TOTAL', 'PRECIPITATION_NEW', 'PRECIP_DETECTOR_RATIO', 'RELATIVE_HUMIDITY1', 'STANDARD_SNOW', 'WIND_DIRECTION_STD_DEVIATION1', 'air_temp', 'avg_wnd_dir_10m_pst10mts', 'avg_wnd_spd_10m_pst10mts', 'dwpt_temp', 'max_air_temp_snc_last_reset', 'max_wnd_spd_10m_pst1hr', 'min_air_temp_snc_last_reset', 'mslp', 'pcpn_amt_pst1hr', 'pcpn_amt_pst24hrs', 'rel_hum', 'snw_dpth', 'snwfl_amt_pst1hr', 'stn_pres']","{'ACTUAL_WIND_DIRECTION': 'degrees', 'ACTUAL_WIND_SPEED': None, 'air_temp': 'celsius', 'ATMOSPHERIC_PRESSURE': 'millibar', 'avg_wnd_dir_10m_pst10mts': 'degrees', 'avg_wnd_spd_10m_pst10mts': 'km/h', 'CURRENT_AIR_TEMPERATURE1': 'celsius', 'CURRENT_AIR_TEMPERATURE2': 'celsius', 'DEW_POINT': 'celsius', 'dwpt_temp': 'celsius', 'HEIGHT_OF_SNOW': 'cm', 'HOURLY_PRECIPITATION': 'mm', 'max_air_temp_snc_last_reset': 'celsius', 'MAXIMUM_AIR_TEMPERATURE': 'celsius', 'MAXIMUM_MEASURED_WIND_SPEED1': 'km h-1', 'max_wnd_spd_10m_pst1hr': 'km/h', 'MEASURED_WIND_DIRECTION1': 'degrees', 'MEASURED_WIND_SPEED1': 'km h-1', 'min_air_temp_snc_last_reset': 'celsius', 'MINIMUM_AIR_TEMPERATURE': 'celsius', 'mslp': 'hPa', 'pcpn_amt_pst1hr': 'mm', 'pcpn_amt_pst24hrs': 'mm', 'PRECIP_DETECTOR_RATIO': '1', 'PRECIPITATION_GAUGE_TOTAL': 'mm', 'PRECIPITATION_NEW': 'mm', 'RELATIVE_HUMIDITY1': '%', 'rel_hum': '%', 'snw_dpth': 'cm', 'snwfl_amt_pst1hr': 'cm', 'STANDARD_SNOW': 'cm', 'stn_pres': 'hPa', 'WIND_DIRECTION_STD_DEVIATION1': 'degrees'}"
ThompsonWx,ThompsonWx,"['RH', 'Wetness']","['DewPt', 'Gust Speed', 'Pressure', 'Rain', 'Solar Radiation', 'Temp', 'Wind Direction', 'Wind Speed']","['DewPtC', 'GustSpeedms', 'Pressurembar', 'Rainmm', 'Soil_Temp', 'SolarRadiationWm', 'TempC', 'Water_Content_m3_m3_15_cm', 'WindDirection', 'WindSpeedms']","{'DewPtC': 'celsius', 'GustSpeedms': 'm s-1', 'Pressurembar': 'millibar', 'Rainmm': 'mm', 'RH': '%', 'Soil_Temp': 'celsius', 'SolarRadiationWm': 'W m-2', 'TempC': 'celsius', 'Water_Content_m3_m3_15_cm': 'm3/m3', 'Wetness': '%', 'WindDirection': 'degree', 'WindSpeedms': 'm s-1'}"
Willow-BowronWx,Willow-BowronWx,['RH'],"['DewPt', 'Gust Speed', 'Pressure', 'Rain', 'Solar Radiation', 'Temp', 'Wind Direction', 'Wind Speed']","['DewPtC', 'GustSpeedms', 'Pressurembar', 'Rainmm', 'SolarRadiationWm', 'TempC', 'Wetness', 'WindDirection', 'WindSpeedms']","{'DewPtC': 'celsius', 'GustSpeedms': 'm s-1', 'Pressurembar': 'millibar', 'Rainmm': 'mm', 'RH': '%', 'SolarRadiationWm': 'W m-2', 'TempC': 'celsius', 'Wetness': '%', 'WindDirection': 'degree', 'WindSpeedms': 'm s-1'}"
